,publisher,genres,app_name,title,url,release_date,tags,reviews_url,specs,price,early_access,id,developer
10,,,Pane In The Glass,,http://store.steampowered.com/app/411620/Pane_In_The_Glass/,,"['Action', 'Simulation', 'Casual', 'VR']",http://steamcommunity.com/app/411620/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Steam Leaderboards', 'Commentary available', 'HTC Vive', 'Tracked Motion Controllers', 'Room-Scale']",4.99,False,411620.0,
11,Vyacheslav Shilikhin,"['Adventure', 'Casual', 'Indie', 'Simulation']",Eared Hero,Eared Hero,http://store.steampowered.com/app/715980/Eared_Hero/,2017-09-29,"['Adventure', 'Indie', 'Casual', 'Simulation']",http://steamcommunity.com/app/715980/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Steam Achievements', 'Steam Trading Cards']",1.99,False,715980.0,Vyacheslav Shilikhin
12,,"['Action', 'Adventure', 'Casual', 'Indie', 'Racing', 'Simulation', 'Sports', 'Strategy']",Frontiers.io - Expansion Pack 1,Frontiers.io - Expansion Pack 1,http://store.steampowered.com/app/756690/Frontiersio__Expansion_Pack_1/,2017-11-24,"['Strategy', 'Action', 'Adventure', 'Indie', 'Casual', 'Simulation', 'Racing', 'Sports']",http://steamcommunity.com/app/756690/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Downloadable Content']",0.99,False,756690.0,Boogygames Studios
13,,['Free to Play'],Lumber King DLC - Eternal Necklace,Lumber King DLC - Eternal Necklace,http://store.steampowered.com/app/681514/Lumber_King_DLC__Eternal_Necklace/,2017-08-16,['Free to Play'],http://steamcommunity.com/app/681514/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Steam Cloud']",4.99,False,681514.0,
14,Vadim Silvestrov,"['Indie', 'Racing', 'Simulation', 'Early Access']",Multirotor Sim 2,Multirotor Sim 2,http://store.steampowered.com/app/528900/Multirotor_Sim_2/,2017-11-15,"['Early Access', 'Simulation', 'Indie', 'Racing']",http://steamcommunity.com/app/528900/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Full controller support']",4.99,True,528900.0,Vadim Silvestrov
15,SP-time,"['Adventure', 'Casual', 'Indie']",True Love ~Confide to the maple~Featured Composer 秋石(Qiushi),True Love ~Confide to the maple~Featured Composer 秋石(Qiushi),http://store.steampowered.com/app/580210/True_Love_Confide_to_the_mapleFeatured_Composer_Qiushi/,2017-06-15,"['Casual', 'Adventure', 'Indie']",http://steamcommunity.com/app/580210/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud']",Free,False,580210.0,SP-time
16,Dark Day Interactive,"['Action', 'Casual', 'Free to Play', 'Indie', 'Simulation', 'Strategy']",GASP,GASP,http://store.steampowered.com/app/412400/GASP/,2015-11-12,"['Free to Play', 'Space', 'Simulation', 'Action', 'Multiplayer', 'Survival', 'Indie', 'Strategy', 'Casual', 'Open World', 'FPS', 'First-Person', 'Psychological Horror', 'Singleplayer', 'Sandbox', 'Horror', 'Adventure', 'Memes', 'Illuminati', 'Nudity']",http://steamcommunity.com/app/412400/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Steam Achievements']",Free to Play,False,412400.0,Dark Day Interactive
17,Gameware Studios,['Indie'],Owys,Owys,http://store.steampowered.com/app/394770/Owys/,2015-08-25,"['Indie', 'Online Co-Op', 'Platformer']",http://steamcommunity.com/app/394770/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Multi-player', 'Co-op', 'Shared/Split Screen', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'Steam Cloud', 'Includes level editor']",0.99,False,394770.0,Gameware Studios
18,,"['Casual', 'Simulation']",Rocksmith® 2014 – Soundgarden - “Black Hole Sun”,Rocksmith® 2014 – Soundgarden - “Black Hole Sun”,http://store.steampowered.com/app/295094/Rocksmith_2014__Soundgarden__Black_Hole_Sun/,2015-01-13,"['Casual', 'Simulation']",http://steamcommunity.com/app/295094/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Shared/Split Screen', 'Downloadable Content', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud', 'Steam Leaderboards']",2.99,False,295094.0,Ubisoft - San Francisco
19,SC Jogos,"['Action', 'Adventure', 'Casual', 'Indie', 'Simulation']",Andarilho - Vehicles,Andarilho - Vehicles,http://store.steampowered.com/app/731750/Andarilho__Vehicles/,2017-10-19,"['Action', 'Adventure', 'Indie', 'Casual', 'Simulation']",http://steamcommunity.com/app/731750/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']",0.99,False,731750.0,SC Jogos
20,NeocoreGames,"['Action', 'Adventure', 'Indie', 'RPG']",The Incredible Adventures of Van Helsing II,The Incredible Adventures of Van Helsing II,http://store.steampowered.com/app/272470/The_Incredible_Adventures_of_Van_Helsing_II/,2014-05-22,"['RPG', 'Action', 'Adventure', 'Hack and Slash', 'Action RPG', 'Indie', 'Steampunk', 'Co-op', 'Multiplayer', 'Singleplayer', 'Dungeon Crawler', 'Isometric', 'Fantasy', 'Vampire', 'Third Person', 'Dark Fantasy', 'Loot', 'Tower Defense', 'Controller']",http://steamcommunity.com/app/272470/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Multi-player', 'Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Stats', 'Steam Leaderboards']",14.99,False,272470.0,NeocoreGames
21,Teamomega,"['Action', 'Indie']",Hellphobia,Hellphobia,http://store.steampowered.com/app/575000/Hellphobia/,2017-01-16,"['Action', 'Indie', 'Top-Down Shooter', 'Twin Stick Shooter', 'Horror']",http://steamcommunity.com/app/575000/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Full controller support']",4.99,False,575000.0,Teamomega
22,Aldorlea Games,"['Action', 'Adventure', 'Casual', 'Indie', 'RPG', 'Strategy']",Girlfriend Rescue,Girlfriend Rescue,http://store.steampowered.com/app/332400/Girlfriend_Rescue/,2015-07-10,"['RPG', 'Indie', 'Strategy', 'Anime', 'RPGMaker', 'Adventure', 'Casual', 'Action', 'Replay Value', 'Pixel Graphics', 'Exploration', 'Nudity']",http://steamcommunity.com/app/332400/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']",4.99,False,332400.0,Aldorlea Games
23,,,Gunjack,,http://store.steampowered.com/app/410570/Gunjack/,,"['Action', 'Casual', 'VR']",http://steamcommunity.com/app/410570/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Steam Achievements', 'Partial Controller Support', 'Steam Leaderboards', 'HTC Vive', 'Oculus Rift', 'Gamepad', 'Keyboard / Mouse', 'Seated', 'Standing']",4.99,False,410570.0,
24,Persona and Pixel studio,"['Indie', 'Simulation', 'Strategy']",Earth Space Colonies,Earth Space Colonies,http://store.steampowered.com/app/437870/Earth_Space_Colonies/,2016-07-01,"['Simulation', 'Strategy', 'Indie', 'Survival', 'Space', 'City Builder']",http://steamcommunity.com/app/437870/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Steam Achievements', 'Steam Trading Cards']",9.99,False,437870.0,Persona and Pixel studio
25,,"['Indie', 'Strategy']",Sentinels of the Multiverse - Infernal Relics,Sentinels of the Multiverse - Infernal Relics,http://store.steampowered.com/app/369050/Sentinels_of_the_Multiverse__Infernal_Relics/,2015-07-06,"['Strategy', 'Indie']",http://steamcommunity.com/app/369050/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Multi-player', 'Co-op', 'Shared/Split Screen', 'Cross-Platform Multiplayer', 'Downloadable Content', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']",4.99,False,369050.0,Handelabra Games Inc.
26,Northway Games,"['Indie', 'Simulation', 'Strategy']",Rebuild 3: Gangs of Deadsville,Rebuild 3: Gangs of Deadsville,http://store.steampowered.com/app/257170/Rebuild_3_Gangs_of_Deadsville/,2015-05-29,"['Strategy', 'Zombies', 'Simulation', 'Survival', 'Indie', 'Turn-Based', 'Singleplayer', 'Post-apocalyptic', 'Management', 'City Builder', 'Base Building', '4X', 'Sandbox', 'Turn-Based Strategy', 'Building', 'Resource Management', 'Real-Time with Pause', 'RPG', 'Kickstarter']",http://steamcommunity.com/app/257170/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud']",14.99,False,257170.0,"Northway Games,Sarah Northway"
27,Dovetail Games - Trains,['Simulation'],Train Simulator: BR Class 73 'Gatwick Express' Loco Add-On,Train Simulator: BR Class 73 'Gatwick Express' Loco Add-On,http://store.steampowered.com/app/258659/Train_Simulator_BR_Class_73_Gatwick_Express_Loco_AddOn/,2016-02-18,['Simulation'],http://steamcommunity.com/app/258659/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Steam Leaderboards']",19.99,False,258659.0,Dovetail Games
28,Dusenberry Martin Racing,['Racing'],Paint Scheme Pack 1,Paint Scheme Pack 1,http://store.steampowered.com/app/525182/Paint_Scheme_Pack_1/,2016-09-13,['Racing'],http://steamcommunity.com/app/525182/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Online Multi-Player', 'Downloadable Content', 'Partial Controller Support']",4.99,False,525182.0,Monster Games
29,PolyDigital,"['Indie', 'Sports']",Bunny Hop League,Bunny Hop League,http://store.steampowered.com/app/429780/Bunny_Hop_League/,2017-04-27,"['Indie', 'Sports', 'Fast-Paced', 'Parkour', 'Multiplayer']",http://steamcommunity.com/app/429780/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Multi-player', 'Online Multi-Player', 'Local Multi-Player', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud', 'Stats']",5.99,False,429780.0,PolyDigital
30,Sometimes You,"['Adventure', 'Casual', 'Indie', 'Early Access']",Cranium Conundrum,Cranium Conundrum,http://store.steampowered.com/app/527790/Cranium_Conundrum/,2016-09-23,"['Early Access', 'Casual', 'Indie', 'Adventure']",http://steamcommunity.com/app/527790/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Multi-player', 'Online Multi-Player', 'Co-op', 'Online Co-op', 'Steam Trading Cards']",5.99,True,527790.0,Falling Star Games
31,,"['Casual', 'Simulation']",Rocksmith® 2014 – Megadeth - “A Tout Le Monde”,Rocksmith® 2014 – Megadeth - “A Tout Le Monde”,http://store.steampowered.com/app/390434/Rocksmith_2014__Megadeth__A_Tout_Le_Monde/,2016-01-19,"['Casual', 'Simulation']",http://steamcommunity.com/app/390434/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Shared/Split Screen', 'Downloadable Content', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud', 'Steam Leaderboards']",2.99,False,390434.0,Ubisoft - San Francisco
32,Camex Games,"['Adventure', 'Free to Play', 'Indie', 'RPG', 'Strategy', 'Early Access']",Tactical Monsters Rumble Arena,Tactical Monsters Rumble Arena,http://store.steampowered.com/app/705220/Tactical_Monsters_Rumble_Arena/,2017-11-12,"['Early Access', 'Strategy', 'Free to Play', 'Indie', 'Adventure', 'RPG', 'Tactical', 'Card Game', 'PvP', 'Tactical RPG', 'Turn-Based', 'Turn-Based Tactics', 'Turn-Based Strategy']",http://steamcommunity.com/app/705220/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Multi-player', 'Online Multi-Player', 'In-App Purchases']",Free To Play,True,705220.0,Camex Games
33,DigitalEZ,"['Adventure', 'Casual', 'Indie']",Notch - Deluxe Content DLC,Notch - Deluxe Content DLC,http://store.steampowered.com/app/414610/Notch__Deluxe_Content_DLC/,2016-07-13,"['Adventure', 'Indie', 'Casual']",http://steamcommunity.com/app/414610/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']",1.99,False,414610.0,"Angels Blue Digital Entertainment,DigitalEZ"
34,"Ismael Pozzo, Eduardo Benítez","['Action', 'Adventure']",CW: Chaco War,CW: Chaco War,http://store.steampowered.com/app/634810/CW_Chaco_War/,TBA,"['Action', 'Adventure', 'Survival', 'First-Person']",http://steamcommunity.com/app/634810/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Online Multi-Player', 'Local Multi-Player', 'Steam Achievements', 'Full controller support', 'Captions available', 'Steam Cloud', 'Commentary available']",,False,634810.0,Waraní Studios
35,Cardboard Keep,"['Casual', 'Indie', 'Simulation', 'Strategy', 'Early Access']",Attrition: Tactical Fronts,Attrition: Tactical Fronts,http://store.steampowered.com/app/656400/Attrition_Tactical_Fronts/,2017-07-14,"['Early Access', 'Casual', 'Indie', 'Strategy', 'Simulation', 'Turn-Based', 'Turn-Based Tactics', 'Stylized', 'Turn-Based Strategy', 'Colorful', 'Turn-Based Combat']",http://steamcommunity.com/app/656400/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Multi-player', 'Online Multi-Player', 'Steam Workshop', 'Includes level editor']",14.99,True,656400.0,Cardboard Keep
36,Degica,['Utilities'],DigiFish Aqua Real 2,DigiFish Aqua Real 2,http://store.steampowered.com/app/372060/DigiFish_Aqua_Real_2/,2015-06-10,"['Utilities', 'Casual', 'Simulation']",http://steamcommunity.com/app/372060/reviews/?browsefilter=mostrecent&p=1,,9.99,False,372060.0,Formosoft International
37,Dovetail Games - Trains,['Simulation'],Train Simulator: China Clay for Export Route Add-On,Train Simulator: China Clay for Export Route Add-On,http://store.steampowered.com/app/325953/Train_Simulator_China_Clay_for_Export_Route_AddOn/,2015-08-20,['Simulation'],http://steamcommunity.com/app/325953/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Steam Leaderboards']",24.99,False,325953.0,Creative Rail
38,Pixellore,['Indie'],Subterrain - Original Soundtrack,Subterrain - Original Soundtrack,http://store.steampowered.com/app/470670/Subterrain__Original_Soundtrack/,2016-05-11,['Indie'],http://steamcommunity.com/app/470670/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards']",2.99,False,470670.0,Pixellore
39,JMJ Interactive,"['Action', 'Indie']",Akihabara - Pure Beat,Akihabara - Pure Beat,http://store.steampowered.com/app/587980/Akihabara__Pure_Beat/,2017-04-17,"['Indie', 'Action', 'Music', 'Rhythm', 'Great Soundtrack', '2D', 'Soundtrack', 'Anime']",http://steamcommunity.com/app/587980/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Downloadable Content', 'Full controller support']",Free,False,587980.0,JMJ Interactive
40,"Lucasfilm, Disney",['Adventure'],Maniac Mansion,Maniac Mansion,http://store.steampowered.com/app/529890/Maniac_Mansion/,1987-10-05,"['Adventure', 'Pixel Graphics', 'Point & Click', 'Classic']",http://steamcommunity.com/app/529890/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Steam Cloud']",5.99,False,529890.0,Lucasfilm Games
41,Warlock Arts,"['Casual', 'Indie', 'Simulation']",Knot - Soundtrack Pack,Knot - Soundtrack Pack,http://store.steampowered.com/app/589230/Knot__Soundtrack_Pack/,2017-02-06,"['Indie', 'Casual', 'Simulation']",http://steamcommunity.com/app/589230/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Downloadable Content', 'Full controller support']",3.99,False,589230.0,Warlock Arts
42,KISS ltd,"['Action', 'Indie']",Solarix,Solarix,http://store.steampowered.com/app/284990/Solarix/,2015-04-30,"['Action', 'Indie', 'Stealth', 'Story Rich', 'Sci-fi', 'Horror', 'Psychological Horror', 'Singleplayer', 'FPS']",http://steamcommunity.com/app/284990/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support']",19.99,False,284990.0,Pulsetense Games
43,,"['Casual', 'Simulation']",Rocksmith® 2014 – The Clash - “I Fought the Law”,Rocksmith® 2014 – The Clash - “I Fought the Law”,http://store.steampowered.com/app/492964/Rocksmith_2014__The_Clash__I_Fought_the_Law/,2016-08-30,"['Casual', 'Simulation']",http://steamcommunity.com/app/492964/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Shared/Split Screen', 'Downloadable Content', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud', 'Steam Leaderboards']",2.99,False,492964.0,Ubisoft - San Francisco
44,Square Enix,['RPG'],I am Setsuna,I am Setsuna,http://store.steampowered.com/app/441830/I_am_Setsuna/,2016-07-19,"['JRPG', 'RPG', 'Great Soundtrack', 'Turn-Based Combat', 'Anime', 'Story Rich', 'Singleplayer', 'Fantasy', 'Atmospheric', 'Adventure']",http://steamcommunity.com/app/441830/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']",39.99,False,441830.0,Tokyo RPG Factory
45,Three Flip Studios,"['Indie', 'Simulation', 'Strategy']",Influent DLC - Dansk [Learn Danish],Influent DLC - Dansk [Learn Danish],http://store.steampowered.com/app/435510/Influent_DLC__Dansk_Learn_Danish/,2016-02-16,"['Strategy', 'Indie', 'Simulation']",http://steamcommunity.com/app/435510/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Steam Trading Cards', 'Captions available', 'Steam Cloud', 'Stats']",4.99,False,435510.0,Rob Howland
46,SCS Software,"['Indie', 'Simulation']",Euro Truck Simulator 2 - Viking Legends,Euro Truck Simulator 2 - Viking Legends,http://store.steampowered.com/app/347212/Euro_Truck_Simulator_2__Viking_Legends/,2015-05-06,"['Simulation', 'Indie']",http://steamcommunity.com/app/347212/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Includes level editor']",1.99,False,347212.0,SCS Software
47,Just1337 Publisher,"['Action', 'Casual', 'Indie']",Slash it 2 - Russian Edition Pack,Slash it 2 - Russian Edition Pack,http://store.steampowered.com/app/588790/Slash_it_2__Russian_Edition_Pack/,2017-02-03,"['Indie', 'Casual', 'Action']",http://steamcommunity.com/app/588790/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Steam Trading Cards', 'Steam Leaderboards']",0.99,False,588790.0,Just1337 Studio
48,Strategy First,['Strategy'],Run For Rum,Run For Rum,http://store.steampowered.com/app/307560/Run_For_Rum/,2014-07-02,['Strategy'],http://steamcommunity.com/app/307560/reviews/?browsefilter=mostrecent&p=1,['Single-player'],4.99,False,307560.0,Reload Game Studio
49,Thylacine Studios,"['Indie', 'RPG']",Siralim 2 - Trials of the Gods (Expansion),Siralim 2 - Trials of the Gods (Expansion),http://store.steampowered.com/app/560580/Siralim_2__Trials_of_the_Gods_Expansion/,2016-12-09,"['RPG', 'Indie']",http://steamcommunity.com/app/560580/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards']",Free,False,560580.0,Thylacine Studios
50,Ripstone,"['Casual', 'Indie', 'Simulation', 'Sports', 'Strategy']",Pure Hold'em - Sorcerer Card Deck,Pure Hold'em - Sorcerer Card Deck,http://store.steampowered.com/app/438906/Pure_Holdem__Sorcerer_Card_Deck/,2016-08-03,"['Strategy', 'Indie', 'Casual', 'Simulation', 'Sports']",http://steamcommunity.com/app/438906/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Multi-player', 'Downloadable Content', 'Steam Achievements', 'Full controller support']",1.99,False,438906.0,VooFoo Studios
51,11 bit studios,"['Adventure', 'Indie', 'Simulation']",This War of Mine - The Little Ones DLC,This War of Mine - The Little Ones DLC,http://store.steampowered.com/app/481090/This_War_of_Mine__The_Little_Ones_DLC/,2016-06-01,"['Indie', 'Simulation', 'Adventure', 'Survival']",http://steamcommunity.com/app/481090/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud']",4.99,False,481090.0,11 bit studios
52,astragon Entertainment GmbH,"['Casual', 'Simulation']",Construction Simulator 2015: Liebherr HTM 1204 ZA,Construction Simulator 2015: Liebherr HTM 1204 ZA,http://store.steampowered.com/app/404283/Construction_Simulator_2015_Liebherr_HTM_1204_ZA/,2016-10-20,"['Simulation', 'Casual']",http://steamcommunity.com/app/404283/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Multi-player', 'Co-op', 'Cross-Platform Multiplayer', 'Downloadable Content', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Partial Controller Support', 'Steam Cloud']",1.99,False,404283.0,weltenbauer. Software Entwicklung GmbH
53,Individual Software,['Software Training'],Professor Teaches QuickBooks 2016,Professor Teaches QuickBooks 2016,http://store.steampowered.com/app/418290/Professor_Teaches_QuickBooks_2016/,2015-11-10,['Software Training'],http://steamcommunity.com/app/418290/reviews/?browsefilter=mostrecent&p=1,,14.99,False,418290.0,Individual Software
54,,,Keep Defending,,http://store.steampowered.com/app/527720/Keep_Defending/,,"['Indie', 'Action', 'VR', 'Tower Defense']",http://steamcommunity.com/app/527720/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Steam Achievements', 'Steam Cloud', 'Stats', 'Steam Leaderboards', 'HTC Vive', 'Oculus Rift', 'Tracked Motion Controllers', 'Standing', 'Room-Scale']",7.99,False,527720.0,
55,Aterdux Entertainment,"['Adventure', 'Indie', 'RPG', 'Strategy']",Legends of Eisenwald: Road to Iron Forest,Legends of Eisenwald: Road to Iron Forest,http://store.steampowered.com/app/416750/Legends_of_Eisenwald_Road_to_Iron_Forest/,2015-11-05,"['Strategy', 'Adventure', 'RPG', 'Indie']",http://steamcommunity.com/app/416750/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Downloadable Content', 'Steam Cloud']",4.99,False,416750.0,Aterdux Entertainment
