release_date,developer,price
2009-01-01,RailSimulator.com,4.99
2009-01-01,Reppo,4.99
2009-01-01,RailSimulator.com,4.99
2009-01-01,Dovetail Games,4.99
2009-01-01,Dovetail Games,4.99
2009-01-28,Volition,9.99
2008-10-20,EA Redwood Shores,19.99
2008-12-16,Liquid Entertainment,9.99
2009-01-13,DICE,19.99
2008-12-08,Hidden Path Entertainment,9.99
2009-02-12,Monolith,14.99
2008-03-05,Oxeye Game Studio,7.99
2007-07-04,Inventive Dingo,9.99
2009-03-19,Meridian4,4.99
2005-05-10,Black Sea Studios Ltd,9.99
2009-02-27,Realmforge Studios,5.99
2009-03-04,"The Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)",2.99
2009-03-04,Deadline Games,4.99
2007-03-30,Frictional Games,9.99
2007-11-19,"Epic Games, Inc.",19.99
2009-02-27,Radon Labs,9.99
2009-03-09,Certain Affinity™,
2008-03-21,Tale of Tales,4.99
2009-02-03,Criterion Games,19.99
2009-03-11,Zombie Master Team,
2009-03-09,Twisted Pixel Games,9.99
2009-03-16,Twisted Pixel Games,1.25
2009-03-16,Twisted Pixel Games,1.25
2009-03-19,IonFX,4.99
2009-03-19,Llamasoft LTD,9.99
2009-03-10,"InnoGlow,Stormregion,THQ Nordic",14.99
2009-04-15,SpinTop Games,4.99
2006-10-27,ArenaNet®,19.99
2005-04-28,ArenaNet®,19.99
2006-04-28,ArenaNet®,19.99
2008-09-25,ArenaNet®,29.99
2009-04-16,Infinite Interactive,14.99
2009-04-29,MumboJumbo,9.99
2009-04-30,Reality Pump Studios,9.99
2009-04-30,Spellbound,9.99
2009-02-10,Gaijin Entertainment,9.99
2009-04-21,ACE Team,9.99
2009-04-29,Twisted Pixel Games,1.25
2008-09-23,1C Company,6.99
2009-05-06,Last Day of Work,9.99
2009-05-06,Sky Fallen,2.99
2005-03-08,Irrational Games,4.99
2002-03-26,Irrational Games,4.99
2009-06-04,SaintXi,14.99
2009-06-09,Darklight Games,Free
2009-06-10,Radical Entertainment,19.99
Jun 2009,Erik Svedäng,4.99
2004-04-30,Ascaron Entertainment ltd.,4.99
2006-04-26,Headfirst Productions,4.99
2007-09-11,Bethesda Game Studios,14.99
2002-04-29,Bethesda Game Studios,14.99
2009-06-16,Bethesda Game Studios®,19.99
2007-05-18,Deck 13,4.99
1999-09-01,NovaLogic,9.99
1998-09-07,NovaLogic,9.99
2008-09-15,Mascot Entertainment,4.99
2009-06-30,Techland,9.99
2007-10-01,HeR Interactive,6.99
2006-10-01,HeR Interactive,6.99
2008-07-01,HeR Interactive,6.99
2007-07-01,HeR Interactive,6.99
2008-12-24,Digital Eel,Free to Play
2009-07-07,,9.99
2009-07-07,Telltale Games,19.99
2009-07-07,Capcom,19.99
2007-10-09,Frontier,9.99
1992-06-01,LucasArts,5.99
2003-12-02,Planet Moon Studios,5.99
2005-11-01,Pandemic Studios,9.99
1989-07-01,LucasArts,5.99
2008-06-03,Traveller's Tales,19.99
2009-07-15,LucasArts,9.99
2008-11-20,GFI Russia,12.99
2009-06-02,Targem Games,9.99
2009-07-21,HeR Interactive,6.99
2009-07-21,Her Interactive,
2006-12-20,Wanako Games,9.99
2006-09-01,Sierra,19.99
2007-10-30,Saber Interactive,19.99
2006-09-01,Sierra,19.99
2009-07-24,Tripwire Interactive,7.99
2008-06-04,Artech Studios,9.99
2009-07-24,"PopTop Software,BreakAway Games,Frog City Software",6.99
2009-07-27,SpinTop Games,4.99
2008-08-14,Capcom,9.99
2009-07-28,Capcom,9.99
2009-07-29,Deadline Games,4.99
2009-08-04,Sakari Indie,4.99
2003-11-19,"BioWare,Aspyr (Mac)",9.99
2009-08-18,Hemisphere Games,9.99
1998-12-01,Black Isle Studios,9.99
2001-03-01,14° East,9.99
1999-06-01,Xatrix Entertainment,9.99
2000-11-01,Shiny Entertainment,9.99
2009-08-19,IO Interactive,
2009-08-20,Telltale Games,19.99
2009-08-24,iWin,19.99
2009-08-24,iWin,9.99
2009-06-22,Size Five Games,4.99
2005-03-29,Ubisoft Montreal,9.99
2009-08-27,,9.99
2009-08-28,Unicorn Games Studio,4.99
2009-10-30,Blue Fang,14.99
2009-09-23,,9.99
2009-09-08,IO Interactive,9.99
2009-09-23,"Freeze Tag Inc.,iQ212",19.99
1999-11-30,"Freeze Tag Inc.,Joju Games,Linksolutions Ltd.,Dekovir Entertainment",19.99
2009-05-26,"Vectorpark, Inc.",2.99
2009-09-25,All Aboard,24.99
2009-09-28,MumboJumbo,9.99
2009-09-07,Telltale Games,19.99
2009-08-18,NovaLogic,19.99
2009-10-01,Dovetail Games,17.99
2009-09-30,PlayFirst,9.99
2009-10-01,Dovetail Games,19.99
2009-10-30,Piranha Bytes,9.99
2009-10-01,Honeyslug,3.99
2009-10-05,"The Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)",9.99
2009-10-16,Amanita Design,9.99
2007-09-04,EA Los Angeles,9.99
2009-09-15,Slightly Mad Studios,19.99
2009-10-27,Runic Games,14.99
2009-03-12,EA Los Angeles,19.99
2009-10-27,FireFly Studios,19.99
2009-10-27,Nitro Games,4.99
2009-10-27,Homegrown Games,9.99
2009-10-29,"Phenomic,THQ Nordic",14.99
2009-10-29,Animation Arts,9.99
2009-10-29,Stormregion,4.99
2009-10-07,Telltale Games,19.99
2009-11-01,1C Company,4.99
2009-09-19,Konstantin Koshutin,4.99
2009-11-03,Phenomic,9.99
2005-03-03,Wargaming.net,9.99
2003-10-28,Wargaming.net,9.99
2009-11-19,HeR Interactive,6.99
2009-11-24,Croteam,14.99
2009-10-29,Animation Arts,9.99
2009-11-06,BioWare,19.99
2009-05-07,Citeremis Inc.,4.99
2009-11-05,Yullaby,1.99
2009-11-11,Crystal Empire Games,9.99
2009-11-12,"Infinity Ward,Aspyr (Mac)",19.99
2009-11-12,"Traveller's Tales,Feral Interactive (Mac)",19.99
2007-06-26,"Triumph Studios,Virtual Programming",4.99
2008-02-15,"Triumph Studios,Virtual Programming",9.99
2007-03-28,EA Los Angeles,14.99
2008-07-23,KranX Productions,4.99
2009-11-13,EA Los Angeles,19.99
2009-11-16,Positech Games,14.99
2009-12-25,Gaijin Entertainment,9.99
2005-06-17,inXile Entertainment,9.99
2009-10-22,Defence Alliance Team,Free
2009-11-03,"LucasArts,Aspyr Studios",19.99
2009-12-15,Paradox Interactive,9.99
2009-10-13,Bethesda Game Studios,19.99
2009-12-16,Positech Games,5.99
2007-10-02,Hip Soft,9.99
2008-04-29,Hip Soft,9.99
2009-01-24,Hip Soft,9.99
2009-12-17,iWin,9.99
2009-12-17,Spidermonk Entertainment,1.99
2008-07-08,Capcom,19.99
2010-03-17,ClockStone Studios,9.99
2009-08-12,Hip Soft,9.99
2010-02-12,Octoshark Studios,Free
2008-08-27,Alawar,4.99
2010-01-06,Alawar,9.99
2009-09-11,Alawar,9.99
2007-12-07,Alawar,4.99
2009-02-18,Alawar,4.99
2010-02-16,Sandlot Games,6.99
2010-02-16,Sandlot Games,6.99
2010-02-16,Cateia Games,6.99
2010-02-17,Chaos Concept,9.99
2010-02-18,Traveller's Tales,19.99
2010-02-18,Eurocom,
2010-02-18,New Star Games Ltd,4.99
2010-02-18,Paradox Interactive,0.99
2010-02-19,The Farm 51,6.99
2007-12-01,Awem Studio,9.99
2010-03-18,Rebellion,7.49
2001-03-21,Croteam,9.99
2010-03-19,All Aboard,19.99
2010-03-31,TaleWorlds Entertainment,19.99
2010-03-26,ZoopTEK,4.99
2010-04-05,Beatnik Games,4.99
2010-04-08,Fatshark,9.99
2010-04-12,Rockstar North / Toronto,19.99
2010-04-12,Other Ocean Interactive,4.99
2010-04-14,Nemesys Games,0.99
2010-04-15,Cold Beam Games,9.99
2010-04-15,Telltale Games,19.99
2010-04-19,Realmforge Studios,9.99
2010-04-19,Gaijin Entertainment,4.99
2010-04-20,The Odd Gentlemen,4.99
2003-08-19,THQ Nordic,4.99
2001-11-30,THQ Nordic,4.99
2010-04-20,Red Chain Games Ltd.,1.99
2006-07-19,Big Fish Games,9.99
2008-06-19,Big Fish Games,9.99
2010-05-05,"The Creative Assembly,Feral Interactive (Mac)",2.99
2008-12-31,Sarbakan,6.99
2009-09-24,PlayFirst,6.99
2009-07-27,Absolutist Ltd.,6.99
2007-10-19,PlayFirst,6.99
2009-12-24,PlayFirst,6.99
2010-03-19,PlayFirst,6.99
2008-02-11,PlayFirst,6.99
2007-12-31,PlayFirst,6.99
2009-12-21,PlayFirst,6.99
2010-05-07,G5 Entertainment,9.99
2008-12-05,ISOTX,
2010-05-11,Climax Studios,14.99
2010-05-12,Press Play,
2010-05-12,Muse Games,4.99
2010-05-28,Ideas Pad,4.99
2010-06-08,Ubisoft,19.99
2010-05-28,Kokakiki,4.99
2010-06-01,SEGA,2.99
2010-06-01,SEGA,2.99
2010-06-01,D3T Limited,61.99
2010-06-01,SEGA,2.99
2010-06-01,SEGA,2.99
2010-06-01,SEGA,2.99
2010-06-01,SEGA,2.99
2010-06-01,SEGA,2.99
2010-06-01,SEGA,2.99
2010-06-01,SEGA,4.99
2010-06-01,SEGA,2.99
2010-06-01,SEGA,2.99
2010-06-01,Obsidian Entertainment,14.99
2010-06-03,Team17 Software Ltd.,9.99
2010-07-16,Bethesda Game Studios,4.99
2010-06-02,Hidden Path Entertainment,0.99
2010-07-16,Bethesda Game Studios,4.99
2010-07-16,Bethesda Game Studios,4.99
2010-07-16,Bethesda Game Studios,4.99
2010-07-19,Valve,Free
2010-07-16,Bethesda Game Studios,4.99
2003-09-22,"EA - Maxis,Aspyr (Mac)",19.99
2010-07-16,"Akella,.dat",14.99
2010-07-16,"Arcen Games, LLC",4.99
2010-07-19,Invent4 Entertainment,9.99
2010-07-21,Blue Byte,3.99
2008-12-08,Dagger Games,9.99
2010-08-17,IO Interactive,9.99
2010-07-28,Rune Forge,9.99
2010-07-26,Paradox Interactive,0.99
2010-08-06,N3V Games,19.99
2010-08-06,Ino-Co,4.99
2011-03-22,"2K Czech,Feral Interactive (Mac)",29.99
2010-08-06,Dovetail Games,4.99
2010-08-12,Infinite Interactive,9.99
2010-08-12,doublesix,9.99
2010-08-16,Playbrains,1.99
2010-08-16,Playbrains,1.99
2010-08-16,Playbrains,1.99
2010-08-16,Playbrains,2.99
2010-08-20,Paradox Development Studio,9.99
2010-08-27,VStep,19.99
2010-08-26,Team17 Digital Ltd,19.99
2010-06-22,Muzzy Lane Software,14.99
2010-08-27,Bohemia Interactive,8.99
2010-08-30,Paradox Development Studio,19.99
2010-08-31,DnS Development,
2010-08-16,Playbrains,1.99
2010-08-31,IO Interactive,5.99
2010-08-31,IO Interactive,1.99
2010-09-01,N3V Games,19.99
2010-08-31,IO Interactive,2.99
2002-11-01,GSC Game World,4.99
2010-09-02,Revolution Software Ltd,5.99
2010-09-06,Zoë Mode,4.99
2010-09-06,"2K Czech,Feral Interactive (Mac)",9.99
2010-09-08,City Interactive,1.99
2010-09-07,Terry Cavanagh,4.99
2010-09-08,Blue Byte,3.99
2010-09-08,Frictional Games,19.99
2010-09-10,EasyGameStation,19.99
2010-08-19,Dedication Games,3.99
2010-09-13,SEGA,2.99
2010-09-13,SEGA,2.99
2010-09-14,exosyphen studios,4.99
2010-09-14,exosyphen studios,4.99
2010-09-17,Subsoap,9.99
2010-09-17,Gaming Minds Studios,14.99
2010-09-13,SEGA,2.99
2010-09-17,Katauri Interactive,14.99
2010-09-17,Dovetail Games,4.99
2010-09-21,"Firaxis Games,Aspyr (Mac, Linux)",29.99
2010-09-21,Nitro Games,4.99
2002-02-05,Croteam,9.99
2010-09-20,Blind Mind Studios,9.99
2010-09-22,Krome Studios,2.99
2010-09-22,Team17 Digital Ltd,9.99
2010-09-23,Croteam,
2010-09-23,Vigil Games,19.99
1999-07-01,Egosoft,4.99
2010-10-08,NeoCoreGames,9.99
2007-08-31,ArenaNet®,19.99
2000-06-01,Egosoft,4.99
Oct 2010,Triumph Studios,9.99
2010-10-11,I Sioux Game Productions B.V.,7.99
2010-10-11,I Sioux Game Productions B.V.,14.99
Oct 2010,Triumph Studios,9.99
Oct 2010,Triumph Studios,5.99
2010-10-12,Electronic Arts,19.99
2010-10-15,"Headup Games,Silent Dreams",9.99
2010-10-15,"CAPCOM CO., LTD.",19.99
2010-10-15,Stickmen Studios,4.99
2010-10-19,Obsidian Entertainment,9.99
2010-10-15,Dmytry Lavrov,6.99
2010-10-22,Ivy Games,4.99
2010-10-25,Noumenon Games,9.99
2010-10-25,"Firaxis Games,Aspyr (Mac, Linux)",4.99
2010-10-25,Hothead Games,14.99
2010-10-26,SEGA,2.99
2010-10-26,SEGA,2.99
2010-10-26,SEGA,2.99
2010-10-26,SEGA,2.99
2010-10-26,SEGA,4.99
2010-10-26,SEGA,2.99
2010-10-26,SEGA,2.99
2010-10-26,SEGA,2.99
2010-10-26,SEGA,2.99
2010-10-26,SEGA,2.99
2010-10-26,SEGA,2.99
2010-10-25,Klei Entertainment,9.99
2010-10-26,Teotl Studios,9.99
2010-10-26,Aspyr Studios,19.99
2010-11-18,Firemint,4.99
2010-11-18,Ascaron Entertainment ltd.,4.99
2010-11-02,Gaijin Games,9.99
2010-11-02,1C Company,1.99
2010-11-02,Nitro Games,4.99
2010-11-18,Tomkorp Computer Solutions Inc.,4.99
2010-11-02,Paradox Interactive,1.99
2010-11-02,Double Helix Games,3.99
2010-11-05,Centauri Production,9.99
2009-10-01,Centauri Production,6.99
2010-11-03,Centauri Production,12.99
2007-04-05,Altar Games,4.99
2010-11-02,React Games,9.99
2010-11-09,Treyarch,39.99
2010-11-09,Sonic Boom Games,0.99
2010-12-02,Joshyy,4.99
2010-12-20,Oddworld Inhabitants,4.99
2010-11-09,Sonic Boom Games,1.99
2010-12-20,Oddworld Inhabitants,9.99
2010-12-23,"Ntreev Soft Co., Ltd.",4.99
2010-12-23,Telltale Games,19.99
2002-05-21,Rockstar Games,9.99
2005-06-06,Rockstar Games,14.99
2011-01-07,Crystal Dynamics Inc.,3.49
2011-01-07,Crystal Dynamics Inc.,3.49
2011-01-07,Crystal Dynamics,3.49
2011-01-07,Crystal Dynamics Inc.,3.49
2003-05-13,Rockstar Games,9.99
2011-01-12,Brightside Games,9.99
2011-01-20,Extend Studio,4.99
2011-01-20,BlueGiant Interactive,14.99
2011-01-25,Visceral Games,19.99
2011-01-19,Big Fish Studios,9.99
2011-01-20,Cateia Games,4.99
2011-01-26,SEGA,2.99
2011-01-24,Uber Entertainment,4.99
2011-01-25,MumboJumbo,9.99
2011-01-26,SEGA,2.99
2011-01-26,SEGA,2.99
2011-01-26,SEGA,2.99
2011-01-26,SEGA,2.99
2011-01-26,SEGA,2.99
2011-01-26,SEGA,4.99
2011-01-26,SEGA,2.99
2011-01-26,SEGA,4.99
2011-01-26,SEGA,2.99
2011-01-26,SEGA,4.99
2011-01-26,SEGA,2.99
2011-01-26,SEGA,2.99
2009-06-02,The Sims Studio,19.99
2011-01-26,VStep,3.99
2010-09-07,The Sims Studio,19.99
2009-11-17,The Sims Studio,19.99
2010-10-26,The Sims Studio,19.99
2010-06-02,The Sims Studio,19.99
2010-02-02,The Sims Studio,19.99
2011-01-27,Trinoteam,4.99
2011-01-28,Virtual Prophecy Entertainment,14.99
2011-02-01,The Sims Studio,19.99
2011-01-31,Mediatonic,5.99
2011-02-02,Cyan Worlds,5.99
2011-02-01,Petroglyph,2.99
2011-02-03,Reality Pump Studios,19.99
2011-02-08,Jellyvision,
Feb 2011,Eden Studios,19.99
2011-02-03,NeoCoreGames,3.99
2011-02-11,Positech Games,6.99
2011-02-09,NeoCoreGames,3.99
2011-02-10,Realmforge Studios,9.99
2011-02-14,"Arcen Games, LLC",4.99
2011-01-11,DTP,19.99
2011-03-08,Stainless Games,9.99
2011-03-11,Fakt Software,4.99
2011-02-28,Gaijin Games,9.99
2011-03-14,"Kaos Studios,Digital Extremes",19.99
2011-02-28,Red Redemption,9.99
2011-02-28,Copenhagen Game Collective,2.99
2011-02-28,"Relic Entertainment,Feral Interactive (Mac/Linux)",0.99
2011-02-28,"Relic Entertainment,Feral Interactive (Mac/Linux)",0.99
2011-02-28,"Relic Entertainment,Feral Interactive (Mac/Linux)",2.99
2011-02-28,"Relic Entertainment,Feral interactive (Mac/Linux)",0.99
2011-02-28,"Relic Entertainment,Feral interactive (Mac/Linux)",0.99
2013-10-24,Trion Worlds,Free to Play
2011-02-28,"Relic Entertainment,Feral Interactive (Mac/Linux)",29.99
2011-03-01,Stout Games,3.99
2011-02-28,"Relic Entertainment,Feral Interactive (Mac/Linux)",2.99
2011-04-05,Black Lion Studios,9.99
2011-04-05,Colossal Order Ltd.,3.99
2011-04-05,VStep,3.99
2011-04-06,"Relic Entertainment,Feral Interactive (Mac/Linux)",6.99
2011-04-08,SimBin,3.99
2011-04-08,11 bit studios,9.99
2010-06-10,Ntronium Games,14.99
2011-04-08,Martin Ivanov,9.99
2011-04-11,Realmforge Studios,3.99
2011-04-08,800 North and Digital Ranch,9.99
2011-04-11,Gaming Minds Studios,9.99
2011-04-18,Valve,19.99
2011-04-12,Arrowhead Game Studios,4.99
2011-04-15,Coffee Stain Studios,9.99
2011-04-19,1C:InoCo,19.99
2011-05-26,"Relic Entertainment,Feral Interactive (Mac/Linux)",2.99
2011-04-20,"Relic Entertainment,Feral Interactive (Mac/Linux)",9.99
2011-05-26,"Relic Entertainment,Feral Interactive (Mac/Linux)",2.99
2011-05-26,Mode 7,24.99
2011-05-26,"Relic Entertainment,Feral Interactive (Mac/Linux)",2.99
2011-05-27,inner seas,4.99
2011-05-30,inXile Entertainment,4.99
2011-05-31,Fatshark,9.99
2011-05-31,The Sims Studio,19.99
2011-05-31,Colossal Order Ltd.,5.99
2011-05-31,Arrowhead Game Studios,0.99
2011-06-01,Behaviour,1.99
2009-08-10,Microids,7.99
2005-06-06,Microids,7.99
2011-06-02,Treyarch,14.99
2011-06-20,Obsidian Entertainment,14.99
2011-06-13,Gearbox Software,19.99
2011-06-14,Red Duck Inc.,Free to Play
2009-09-01,Cryptic Studios,Free to Play
2011-06-14,Grey Havens,Free to Play
2011-06-13,"Apus Software,Three Donkeys LLC",9.99
2011-06-14,Colossal Order Ltd.,3.99
2011-06-14,Reality Pump Studios,9.99
2011-06-15,Peter Brinson and Kurosh ValaNejad,Free
2011-06-15,Stainless Games Ltd,19.99
2011-05-20,Bacon Wrapped Games,9.99
2011-06-16,Cold Beam Games,4.99
2011-06-16,Mode 7,5.99
2011-06-17,Murudai,9.99
2011-06-21,Totem Games,9.99
2011-06-21,Totem games,9.99
2011-06-21,Arrowhead Game Studios,2.99
2011-06-21,Totem Games,9.99
2011-06-21,Day 1 Studios,19.99
2011-06-21,Arrowhead Game Studios,1.99
2011-06-21,Arrowhead Game Studios,1.99
2011-06-22,N3V Games,19.99
2011-06-21,Arrowhead Game Studios,1.99
2011-06-23,Paradox Interactive,1.99
2011-06-24,Bedlam Games,14.99
2011-06-23,SimBin,3.99
2011-06-24,Giants Software,6.99
2011-06-23,Paradox Interactive,1.99
2011-06-28,Paradox Development Studio,4.99
2011-06-30,Team17 Digital Ltd,4.99
2011-06-30,Team17 Digital Ltd,4.99
2011-06-30,Team17 Digital Ltd,4.99
2011-07-01,Realmforge Studios,2.99
2011-06-30,Team17 Digital Ltd,4.99
2011-06-30,Telltale Games,9.99
2011-07-02,Tripwire Interactive,7.99
2011-07-18,Ageod,3.99
2011-07-18,Secret Base,0.99
2011-07-18,Obsidian Entertainment,4.99
2011-07-19,"Relic Entertainment,Feral Interactive (Mac/Linux)",6.99
2011-07-19,1C: Maddox Games,
2011-07-19,YeaBoing,4.99
2011-07-19,Dovetail Games,8.99
2011-07-21,"Kaos Studios,Digital Extremes",0.99
2011-07-20,Mystic Box,9.99
2011-07-21,Digitalmindsoft,1.99
2011-07-22,"Dejobaan Games, LLC",1.99
2011-07-22,Lunar Giant,0.99
2011-07-22,Extend Studio,0.99
2011-07-22,Colossal Order Ltd.,2.99
2010-08-24,HeR Interactive,6.99
2011-08-08,Bohemia Interactive,4.99
2011-07-22,Zachtronics,1.99
2011-09-01,Haemimont Games,14.99
2011-06-28,HeR Interactive,6.99
2010-06-29,HeR Interactive,6.99
2011-08-10,Total Eclipse,6.99
2011-08-10,Ageod,3.99
2011-08-11,Two Tribes,6.99
